GEO.id,GEO.id2,GEO.display-label,B25034_001E,B25034_001M,B25034_002E,B25034_002M,B25034_003E,B25034_003M,B25034_004E,B25034_004M,B25034_005E,B25034_005M,B25034_006E,B25034_006M,B25034_007E,B25034_007M,B25034_008E,B25034_008M,B25034_009E,B25034_009M,B25034_010E,B25034_010M
Id,Id2,Geography,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Built 2010 or later,Margin of Error!!Total!!Built 2010 or later,Estimate!!Total!!Built 2000 to 2009,Margin of Error!!Total!!Built 2000 to 2009,Estimate!!Total!!Built 1990 to 1999,Margin of Error!!Total!!Built 1990 to 1999,Estimate!!Total!!Built 1980 to 1989,Margin of Error!!Total!!Built 1980 to 1989,Estimate!!Total!!Built 1970 to 1979,Margin of Error!!Total!!Built 1970 to 1979,Estimate!!Total!!Built 1960 to 1969,Margin of Error!!Total!!Built 1960 to 1969,Estimate!!Total!!Built 1950 to 1959,Margin of Error!!Total!!Built 1950 to 1959,Estimate!!Total!!Built 1940 to 1949,Margin of Error!!Total!!Built 1940 to 1949,Estimate!!Total!!Built 1939 or earlier,Margin of Error!!Total!!Built 1939 or earlier
0600000US0900907310,0900907310,"Branford town, New Haven County, Connecticut",13747,379,116,87,499,125,1055,234,2990,310,2154,272,1473,251,1598,211,808,200,3054,331
0600000US0900914160,0900914160,"Cheshire town, New Haven County, Connecticut",10209,359,32,35,906,185,1192,208,1646,232,1546,231,1779,243,1605,211,625,178,878,181
0600000US0900919550,0900919550,"Derby town, New Haven County, Connecticut",5505,359,0,19,223,104,401,145,642,167,545,185,432,145,1130,251,262,133,1870,301
0600000US0900922910,0900922910,"East Haven town, New Haven County, Connecticut",12356,365,46,34,554,153,1193,209,2188,307,1443,230,1385,230,2678,348,1000,191,1869,265
0600000US0900934950,0900934950,"Guilford town, New Haven County, Connecticut",9725,234,14,21,721,173,1042,194,1594,226,2557,273,1149,198,889,203,439,141,1320,230
0600000US0900935650,0900935650,"Hamden town, New Haven County, Connecticut",25465,795,127,79,1204,270,2344,291,3224,374,3091,330,3155,380,4410,384,2905,293,5005,453
0600000US0900944560,0900944560,"Madison town, New Haven County, Connecticut",7935,304,44,44,669,154,982,159,1110,238,1755,208,1484,208,536,167,243,107,1112,235
0600000US0900946520,0900946520,"Meriden town, New Haven County, Connecticut",27611,625,77,54,988,204,984,209,3556,364,3395,403,3657,380,3773,398,1966,265,9215,484
0600000US0900946940,0900946940,"Middlebury town, New Haven County, Connecticut",2924,102,12,13,431,92,269,63,311,94,363,90,338,88,435,105,351,82,414,100
0600000US0900947535,0900947535,"Milford town, New Haven County, Connecticut",22838,477,75,41,1989,269,2020,244,2150,298,2900,274,2773,329,4250,342,2082,245,4599,359
0600000US0900949950,0900949950,"Naugatuck town, New Haven County, Connecticut",13103,453,0,25,896,253,559,175,1767,257,2131,246,1780,265,1980,304,909,241,3081,344
0600000US0900952070,0900952070,"New Haven town, New Haven County, Connecticut",57190,1006,671,128,2723,312,2353,389,4444,446,4867,511,4932,489,5330,485,2919,339,28951,802
0600000US0900953890,0900953890,"North Branford town, New Haven County, Connecticut",5775,162,0,19,388,116,868,194,966,225,635,140,1208,253,1276,226,122,73,312,131
0600000US0900954870,0900954870,"North Haven town, New Haven County, Connecticut",9054,257,22,20,755,145,665,158,1082,169,740,156,1772,249,1863,241,1184,225,971,208
0600000US0900957600,0900957600,"Orange town, New Haven County, Connecticut",5082,160,30,28,317,90,365,94,422,99,391,76,1279,150,1598,178,307,94,373,114
0600000US0900958300,0900958300,"Oxford town, New Haven County, Connecticut",4681,173,14,22,1041,175,711,182,688,159,705,136,327,110,403,142,433,133,359,108
0600000US0900962290,0900962290,"Prospect town, New Haven County, Connecticut",3293,142,134,62,340,94,532,136,563,149,372,116,385,91,479,148,255,106,233,88
0600000US0900967610,0900967610,"Seymour town, New Haven County, Connecticut",6590,290,70,70,574,170,383,130,770,156,1131,201,801,176,938,211,420,141,1503,267
0600000US0900969640,0900969640,"Southbury town, New Haven County, Connecticut",8565,304,6,8,648,138,1426,193,1210,194,2515,317,1430,230,206,70,273,121,851,190
0600000US0900978740,0900978740,"Wallingford town, New Haven County, Connecticut",18570,416,88,47,1297,206,1798,245,3310,269,2168,228,1975,291,3367,277,1138,179,3429,300
0600000US0900980070,0900980070,"Waterbury town, New Haven County, Connecticut",47983,824,21,28,1346,236,2734,319,6545,512,5714,506,4964,505,7557,501,3709,417,15393,701
0600000US0900982870,0900982870,"West Haven town, New Haven County, Connecticut",22245,612,12,18,375,160,836,231,2658,350,3127,337,3447,473,4131,387,1687,303,5972,488
